,HH7,WB6A,level_of_education_per_region,urban_rural,WB6A_name
0,1,1.0,0.22058823529411764,urban,Primary
1,1,2.0,0.19852941176470587,urban,Lower Secondary
2,1,3.0,0.5514705882352942,urban,Higher Secondary
3,1,4.0,0.029411764705882353,urban,Higher
4,2,1.0,0.11347517730496454,urban,Primary
5,2,2.0,0.2198581560283688,urban,Lower Secondary
6,2,3.0,0.574468085106383,urban,Higher Secondary
7,2,4.0,0.09219858156028368,urban,Higher
8,4,1.0,0.015915119363395226,urban,Primary
9,4,2.0,0.11671087533156499,urban,Lower Secondary
10,4,3.0,0.5119363395225465,urban,Higher Secondary
11,4,4.0,0.35013262599469497,urban,Higher
12,4,9.0,0.005305039787798408,urban,Don't Know
13,6,1.0,0.11,urban,Primary
14,6,2.0,0.20666666666666667,urban,Lower Secondary
15,6,3.0,0.5166666666666667,urban,Higher Secondary
16,6,4.0,0.16333333333333333,urban,Higher
17,6,9.0,0.0033333333333333335,urban,Don't Know
18,7,1.0,0.06132075471698113,urban,Primary
19,7,2.0,0.16981132075471697,urban,Lower Secondary
20,7,3.0,0.6839622641509434,urban,Higher Secondary
21,7,4.0,0.08490566037735849,urban,Higher
22,9,1.0,0.02857142857142857,urban,Primary
23,9,2.0,0.22857142857142856,urban,Lower Secondary
24,9,3.0,0.6190476190476191,urban,Higher Secondary
25,9,4.0,0.12380952380952381,urban,Higher
26,10,1.0,0.018604651162790697,urban,Primary
27,10,2.0,0.11162790697674418,urban,Lower Secondary
28,10,3.0,0.5651162790697675,urban,Higher Secondary
29,10,4.0,0.3023255813953488,urban,Higher
30,10,9.0,0.002325581395348837,urban,Don't Know
31,1,1.0,0.20795107033639143,rural,Primary
32,1,2.0,0.27217125382262997,rural,Lower Secondary
33,1,3.0,0.46788990825688076,rural,Higher Secondary
34,1,4.0,0.05198776758409786,rural,Higher
35,2,0.0,0.0024937655860349127,rural,Nursery
36,2,1.0,0.15211970074812967,rural,Primary
37,2,2.0,0.23192019950124687,rural,Lower Secondary
38,2,3.0,0.516209476309227,rural,Higher Secondary
39,2,4.0,0.08728179551122195,rural,Higher
40,2,9.0,0.00997506234413965,rural,Don't Know
41,3,1.0,0.0751592356687898,rural,Primary
42,3,2.0,0.2611464968152866,rural,Lower Secondary
43,3,3.0,0.49936305732484076,rural,Higher Secondary
44,3,4.0,0.16305732484076432,rural,Higher
45,3,9.0,0.0012738853503184713,rural,Don't Know
46,4,1.0,0.08964451313755796,rural,Primary
47,4,2.0,0.2287480680061824,rural,Lower Secondary
48,4,3.0,0.4775888717156105,rural,Higher Secondary
49,4,4.0,0.2009273570324575,rural,Higher
50,4,9.0,0.0030911901081916537,rural,Don't Know
51,5,0.0,0.0017452006980802793,rural,Nursery
52,5,1.0,0.09598603839441536,rural,Primary
53,5,2.0,0.193717277486911,rural,Lower Secondary
54,5,3.0,0.5933682373472949,rural,Higher Secondary
55,5,4.0,0.1082024432809773,rural,Higher
56,5,9.0,0.006980802792321117,rural,Don't Know
57,6,0.0,0.0036968576709796672,rural,Nursery
58,6,1.0,0.17375231053604437,rural,Primary
59,6,2.0,0.22735674676524953,rural,Lower Secondary
60,6,3.0,0.5138632162661737,rural,Higher Secondary
61,6,4.0,0.07948243992606285,rural,Higher
62,6,9.0,0.0018484288354898336,rural,Don't Know
63,7,1.0,0.22794117647058823,rural,Primary
64,7,2.0,0.19117647058823528,rural,Lower Secondary
65,7,3.0,0.5294117647058824,rural,Higher Secondary
66,7,4.0,0.051470588235294115,rural,Higher
67,8,0.0,0.003745318352059925,rural,Nursery
68,8,1.0,0.149812734082397,rural,Primary
69,8,2.0,0.1947565543071161,rural,Lower Secondary
70,8,3.0,0.6067415730337079,rural,Higher Secondary
71,8,4.0,0.0449438202247191,rural,Higher
72,9,1.0,0.1347305389221557,rural,Primary
73,9,2.0,0.281437125748503,rural,Lower Secondary
74,9,3.0,0.5359281437125748,rural,Higher Secondary
75,9,4.0,0.04790419161676647,rural,Higher
76,10,1.0,0.05128205128205128,rural,Primary
77,10,2.0,0.19230769230769232,rural,Lower Secondary
78,10,3.0,0.48717948717948717,rural,Higher Secondary
79,10,4.0,0.2692307692307692,rural,Higher
